,OverTime,TrainingTimesLastYear,StockOptionLevel,RelationshipSatisfaction,JobSatisfaction,JobInvolvement,EnvironmentSatisfaction,BusinessTravel,Education,Gender,MaritalStatus,JobLevel,Attrition,PerformanceRating,WorkLifeBalance,Sales_Department,Research & Development_Department,Human Resources_Department,Life Sciences_EducationField,Other_EducationField,Medical_EducationField,Marketing_EducationField,Technical Degree_EducationField,Human Resources_EducationField,Sales Executive_JobRole,Research Scientist_JobRole,Laboratory Technician_JobRole,Manufacturing Director_JobRole,Healthcare Representative_JobRole,Manager_JobRole,Sales Representative_JobRole,Research Director_JobRole,Human Resources_JobRole,PercentSalaryHike,MonthlyRate,HourlyRate,Age,DailyRate,DistanceFromHome,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome,0,1,2,3,4,5,6,7,8,MonthlyIncome
10,0,5,1,3,2,4,1,1,3,1,1,1,0,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,13,16479,84,35,809,16,0,6,5,4,0,3,2426,-1.2087196881348463,-0.811502919617771,0.4040156128283479,0.561560155924629,-1.2162055302234507,0.3452619422678153,-0.19366998316084025,-0.5841912682948682,-0.3269017293627273,2426
11,1,3,0,4,3,2,4,1,2,0,0,2,0,3,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,12682,49,29,153,15,0,10,9,5,0,8,4193,-0.07103011724922165,-1.7567189766404252,-1.2120117418975223,0.6492377803502818,-0.3582795130286291,-0.8381157648422397,-1.0562509521364245,-0.3966022577987054,-1.105895092732056,4193
12,0,1,1,4,3,3,1,1,1,1,2,1,0,3,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,15170,31,31,670,26,1,5,5,2,4,3,2911,-1.1031786934477503,-1.1690007517861107,0.08919201741500801,1.6894583288832963,1.1329491088902075,-0.10608013442463167,-1.7583986549783144,0.11393783783693424,0.8091854493177862,2911
13,0,2,1,3,4,3,2,1,2,1,2,1,0,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,11,8758,93,34,1346,19,0,3,2,2,1,2,2661,-1.8214876194534126,-0.668032481585813,1.481313019346896,-0.5167019428913938,-1.6810219400236288,0.7686632494741514,-1.0296610296472741,-0.6772469789213998,0.3712508265724278,2661
14,1,4,0,2,3,2,3,1,3,1,0,1,1,3,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,12947,50,28,103,24,5,6,4,2,0,3,2028,-1.65020359919258,-0.22469963977226273,-0.5976495502053395,1.4994389504629428,-0.22172008000204743,-1.2758045808699692,-1.6434029326032167,1.0902739071746415,-0.49910432289857154,2028
15,0,1,1,3,1,4,2,1,4,0,2,3,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,10195,51,29,1389,21,1,10,10,9,8,8,9980,1.729924974398777,-1.8283334783129348,0.6709761124715667,-0.3221439023510996,-0.17243472925334885,1.3291526012762176,-1.9877486551081307,0.3433942841702947,0.8929268535258461,9980
16,1,5,2,4,2,4,1,1,2,1,2,1,0,3,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,15053,80,32,334,5,0,7,6,2,0,5,3298,-1.0998126899002327,-0.9752826838580908,-0.9705676834062812,-0.06277539165958276,-1.2219153574049653,-0.5060432377420845,0.4842958500853879,-0.6463619837219048,-0.4635416097484542,3298
17,1,2,2,2,4,4,4,0,2,1,2,1,0,3,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,13,7324,96,22,1123,16,1,1,1,0,0,0,2935,-2.883321577373998,-0.7542136141706196,1.3649281637510229,-0.5623568946541605,-1.4810873402595894,0.12237357857613367,-0.5369876034024549,-0.3792687535491306,0.45576809040078037,2935
18,0,3,0,3,4,2,1,1,4,0,1,4,0,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,22021,78,53,1219,2,2,31,25,8,3,7,15427,4.309846419260913,1.0954864235370236,0.23358962623246082,-0.15804921205319114,-0.006490156165160194,1.2031945296843547,1.2575453650976425,-1.3398711285178349,-0.5568894328110175,15427
19,1,3,0,3,4,3,4,1,3,1,0,1,0,3,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,4306,45,38,371,2,5,6,3,2,1,2,3944,-1.2736960133832902,0.536624692299026,-1.532723802593707,-1.3693034786426026,0.08217079613229585,-1.2589706458847238,-0.9787976722010825,0.6112413951673902,-0.0038460691751713086,3944
20,0,5,1,4,3,4,1,0,2,0,2,2,0,3,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,18,8232,96,24,673,11,0,5,4,2,1,3,4011,-1.68929410069265,-1.2692251051825372,1.1890534300021158,-0.0678148878113318,-0.7368281041054009,-0.9610290021870574,0.6952905489804789,-0.5303608401722935,0.20535520465646606,4011
21,0,4,0,2,1,2,3,1,4,1,0,1,1,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,6986,82,36,1218,9,7,10,5,3,0,3,3407,-0.9646332652851725,1.0948100773819311,2.2739072889408876,-0.5541528995289511,0.9729488462089804,-0.6990992710587882,0.7294964273798005,1.2454198818082711,-0.4581906752319961,3407
22,0,4,0,3,2,3,1,1,4,0,0,3,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,21293,53,34,419,7,0,13,12,6,2,11,11994,1.6983995019843512,-1.2238886993741467,-1.7392712370876877,0.4757495394529998,-0.41815793183505345,0.4282182912959873,-0.05463684512877905,-0.7878967433503273,-0.9243287968865572,11994
23,0,6,0,4,4,3,3,1,2,1,0,1,0,3,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,19281,96,21,391,15,1,0,0,0,0,0,1232,-3.1608059659899292,-0.9112251628224762,-0.02240135029872476,1.1452199906125733,-1.6675661734956966,-0.27567184787132765,0.49888966508010607,-0.03794287881791613,0.2967532539353535,1232
24,0,2,0,3,1,3,2,1,1,1,0,1,1,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,11,17102,83,34,699,6,2,8,4,2,1,3,2960,-1.2436117254635592,-0.12721780368713811,-0.6171003624066722,-0.23541415443421035,-1.3517879885298074,0.315008192984926,0.3023845911754443,-0.07048602424440803,-0.029749802138599554,2960
25,0,3,1,4,3,3,3,1,3,0,2,5,0,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11,10735,58,53,1282,5,4,26,14,13,4,8,19094,4.338458826099383,1.2191436757820033,-0.0988929288488576,-1.3837353624519535,-0.025151650784363353,0.9026447599811435,-0.7105732827525594,-0.564612333291761,-0.5581031893962345,19094
26,1,5,0,2,1,1,2,2,1,0,0,1,1,4,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,4681,72,32,1125,16,1,10,10,2,6,7,3919,0.2217290877056157,-1.3429481935251406,2.2139767981768315,-0.09100671754943356,0.9027428256701618,-0.7289664405473336,-0.03915726855351265,0.11989579434632405,0.9610955766616048,3919
27,0,2,1,4,2,3,3,1,4,1,1,2,0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,11,21173,48,42,691,8,0,10,9,7,4,2,6825,0.5163842272755379,-0.5697496627130068,-1.4578959472650175,0.38488171377044134,-0.1267896280659552,0.8851289958045102,-0.3611879304940786,-0.6563765013148555,0.5394954792571132,6825
28,0,4,1,4,4,2,1,1,4,0,1,3,0,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,14,2094,42,44,477,7,3,24,22,6,5,17,10248,4.1796465820414594,-0.9819661217074716,-0.5863133818012431,-1.0895674270072295,0.5924391200115974,-1.4214140459878521,-1.0294844884835197,0.19401139231653078,-1.093294345602203,10248
29,0,2,0,4,1,3,2,1,4,0,0,5,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,12,22822,83,46,705,2,3,22,2,2,2,1,18947,0.8487746980845928,2.560906326867539,-1.0738183854484167,0.14691193194702884,-1.0028646943990631,0.5598250776936262,0.8871423067857545,-1.621758663074379,0.6957315324807972,18947
30,0,3,0,4,4,3,3,1,3,1,0,1,0,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,11,6670,78,33,924,2,4,7,1,1,0,0,2496,-2.1006767012536534,0.6163936544478844,-0.21036338060219723,-1.676794088049242,-0.9110522569728754,-0.1792197172812823,-0.21200860784923203,0.2289367577076204,0.14954510181770345,2496
31,1,5,0,4,4,3,4,1,4,1,1,2,0,3,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,13,19121,41,44,1459,10,2,9,4,2,1,3,6465,-0.6101752460076478,0.672573944041301,-0.17694678784450485,-0.20671184262285217,0.7876224397232133,1.8068481982621194,-0.854250884280812,-0.6010850865387953,0.08803922401926934,6465
32,0,5,0,1,3,2,4,1,2,1,0,1,0,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,13,16117,83,30,125,9,1,10,10,0,1,8,2206,-0.5669194015994781,-1.1392701505411102,-0.8856426616618284,0.5576279465612083,-1.3659962417963296,-0.9423107045019518,0.4678515638516438,-0.12364558482586087,-0.5701869019000781,2206
33,0,6,1,3,4,3,4,1,3,1,1,2,1,3,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,14,3335,56,39,895,5,3,19,1,0,0,0,2086,-1.4264989942511517,1.114882479516596,-0.02658028469190751,-1.3843227648241905,0.3604023536555679,-0.7282354158050746,-0.7941167497311902,-0.5501426893922232,0.22734984551184764,2086
34,1,2,1,1,4,3,2,1,3,1,1,1,1,3,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,16,3020,61,24,813,1,2,6,2,0,2,0,2293,-2.302914377023451,-0.5560114701525483,-0.004876823833841488,-1.550395977796008,0.5108682624899573,-0.8655078944225489,0.003632316413018574,-0.03216075788372849,0.8509396203851575,2293
35,0,3,2,4,3,4,4,1,2,0,2,1,0,3,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12,21923,72,43,1273,2,1,6,5,3,1,4,2645,-0.8313145781538556,-0.019649012237773354,-0.35375868009603956,-0.5284688950029368,-0.481833280682375,1.718684162105651,0.6367154971034013,-0.39436926151617785,-0.15249329217679186,2645
36,1,2,0,3,3,2,1,1,2,1,1,1,1,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14,3810,86,50,869,3,1,3,3,2,0,2,2683,-1.36191187922694,0.33168362762836173,0.5391794894765618,-1.4789530172300502,-0.7410674421957852,-0.8359230794849682,0.21560975869373827,-0.8458549366571488,0.04177748042379905,2683
37,0,3,0,1,4,3,4,1,3,0,1,1,0,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13,9687,97,35,890,2,1,2,2,2,2,2,2014,-1.7871588285675233,-0.5047162404952162,0.3197654820845757,-1.1990845591825998,-1.3393765969161944,-0.1345139435352899,0.7860568549373649,-0.20984251230177287,0.5304712877212573,2014
38,1,3,1,4,1,2,2,1,4,0,1,1,0,3,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,13072,82,36,852,5,9,6,1,1,0,0,3419,-1.9406672492342565,1.9636090752923614,0.06279098379577869,-0.6973905102437886,-0.6315157747635083,-0.2055753060492562,0.24906052479347648,1.7538213659982387,-0.10443861649159202,3419
39,0,3,2,1,1,4,3,2,3,0,1,2,0,3,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,3193,42,33,1141,1,2,10,5,3,1,3,5376,-0.8252307149254813,-0.25142086733331387,0.4682125695101536,-1.5880114374792784,1.8788042367555169,-0.4430860984680958,-0.12974340083354235,-0.366029665552335,0.05522887503333733,5376
40,0,3,1,3,4,3,3,1,2,1,2,1,0,3,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12,10910,75,35,464,4,1,1,1,0,0,0,1951,-2.539314772115371,-0.21529618282437366,-0.8351335570267729,-0.5828215185676062,-0.9214691631814755,-0.6665709958180482,0.11512774150155708,-0.531725916541944,0.32899004713287855,1951
41,0,6,1,4,1,3,4,1,4,0,2,1,0,3,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,19715,33,27,1240,2,1,1,1,0,0,0,2341,-2.7484709372592655,-0.46562011152739236,-1.1321436981482544,-0.5927883708100202,1.1069522103982594,1.6812317935310732,-0.2857039196258219,-0.35522664367429047,0.318848566827992,2341
42,0,2,0,3,3,1,1,1,3,1,0,1,1,3,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,10558,48,26,1357,25,1,1,1,0,0,1,2293,-2.6688275650043307,-0.7806534150361284,0.8237988749662727,0.17296369031217768,0.00901116840207265,1.0718646775254277,-2.368707637587028,-0.324361002267828,0.2909235518786762,2293
43,0,0,0,4,3,3,4,2,3,1,0,3,0,3,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,2975,37,27,994,8,1,9,9,8,1,7,8726,0.4709979210516345,-1.5619061650648125,0.06711077083904082,-1.2925942262820425,1.1701528767615674,-0.2330918170036369,-1.1527552581328924,-0.30771038211965196,-0.7566088962195641,8726
44,0,2,0,4,4,3,3,2,2,0,0,2,0,4,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,23,10781,58,30,721,1,1,12,12,8,3,7,4011,0.7494689068695809,-1.6693525589373035,0.5695244681040837,-0.30346115220568387,1.712656902905845,-0.8212316217008736,1.3919753710133849,0.21497016975092428,-0.41397512860259045,4011
45,0,0,0,4,3,3,2,1,3,0,1,5,1,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12,16280,49,41,1360,12,1,23,22,15,15,8,19545,5.783820827001706,-1.2748085664946824,-0.042529685533001294,-0.31935025487587365,0.2389973086866299,1.7433017907631498,-0.833965886039811,0.024847966773593987,2.1890363716061882,19545
46,0,2,0,3,3,3,2,0,4,1,0,2,0,4,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,20,10034,72,34,1065,23,0,10,9,5,8,7,4568,0.8004045000559187,-1.7279591469759623,2.0194168890573403,0.8437142846942389,0.37342465690274385,-0.18664000250187762,-0.472375005289503,0.13589552100551008,1.2990336170841656,4568
47,0,1,0,1,2,3,2,1,2,1,1,1,0,4,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,10227,73,37,408,19,4,8,1,0,0,0,3022,-2.0125169955417226,0.788228673204749,1.059975928586295,1.216057093890691,0.3894763563302688,-1.7043588399780203,-0.11261089554566396,0.16004332738429664,0.21719355905226986,3022
48,1,4,0,3,4,3,1,2,4,1,0,2,0,4,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,21,20445,98,46,1211,5,4,14,9,6,0,8,5772,0.8546391766017604,0.706985093224446,1.6356595939364038,0.20528349564806217,0.047623400946992904,0.5438571419586994,2.0064045960714774,0.30642655999144747,-1.2124051940644858,5772
49,0,2,0,4,4,4,4,1,1,1,1,1,0,3,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,4892,36,35,1229,8,1,1,1,0,0,1,2269,-2.4259035662986395,-0.3559223754775668,0.7160105244318228,-0.9344514492114838,1.9669601613920944,-0.15803366435876015,-0.7429050816092689,-0.5719642654387734,0.3407217078728547,2269
50,1,2,0,4,3,2,1,1,2,1,0,3,1,3,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,19294,98,48,626,1,9,23,1,0,0,0,5381,-0.6250834665405499,3.594029659714938,-0.4964690974215349,-0.2571845640830354,-1.3879372828307588,-0.25659379879120503,1.1060767082546217,0.8960533001321384,-0.11749645096961292,5381
51,1,3,0,3,3,3,3,1,4,1,0,1,1,3,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13,11179,50,28,1434,5,1,2,2,2,2,2,3441,-1.8735491868259637,-0.8164922550617334,0.051600579529252386,-1.3137559790665176,0.5449296832820423,1.262349063961429,-0.5906129205132223,-0.17878477079266095,0.5592187143469661,3441
52,1,2,1,3,1,3,2,1,5,0,2,2,0,4,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,21,4009,75,44,1488,1,5,9,4,3,1,3,5454,-0.6032829073122342,1.1679317834408058,1.9088130334939486,-1.7418836703309737,1.1868053628102302,-0.2455081593051207,0.7513112388612345,0.3354831214143318,0.005462139987190313,5454
53,1,3,1,3,1,2,3,0,2,1,1,3,0,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13,8302,79,35,1097,11,2,10,4,0,2,3,9884,-0.6963060492470792,0.45696103287530615,0.6328341779019366,-0.7842801072859926,-0.7296681576747179,0.10505697327130825,-0.5462491732125175,-0.8070329724997455,0.6272030690063531,9884
54,1,2,1,3,4,2,3,1,3,0,1,2,0,3,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,19,21436,47,26,1443,23,7,5,2,2,0,0,4157,-2.0881085759559195,0.8853658260447688,1.2765171905875752,1.2985247175295338,1.3168368224011702,1.4424687595906855,-0.9586020048224037,1.4729305272482305,-0.07272925089347264,4157
55,1,1,0,3,4,3,1,2,2,0,0,3,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,15146,98,33,515,1,1,15,15,14,8,12,13458,3.695204333978386,-1.9441555934605979,-0.46655473614705983,-0.6330093928982818,-1.6996031774516307,-0.05304596869872249,1.3297284189973593,0.3686196816886965,-0.050259070549699005,13458
56,0,3,1,4,1,3,2,2,5,1,1,3,0,4,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,11031,71,35,853,18,1,9,9,8,1,8,9069,0.8119982420545105,-1.1016139578352337,1.7586566250030644,0.8395327456719404,0.8137752020129267,-0.6479980040341522,0.19517545376873918,-0.33937885768845366,-0.8488458524366523,9069
57,1,3,1,3,1,3,3,1,4,0,1,1,0,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,15,16002,30,35,1142,23,3,4,2,2,2,2,4014,-1.4647351319633464,-0.05310729202355669,0.23159836088084607,0.9225206479165723,1.130520886972853,0.893178644107905,-1.9569325461741627,0.31359268522993483,0.4075921235713968,4014
58,0,3,1,4,4,3,4,1,4,1,2,2,0,4,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,9528,48,31,655,7,3,10,7,7,1,7,5915,0.17402877322909827,-0.8498570424011729,0.4856937372367343,0.013414881299793265,1.808917458794754,-1.0245346478117667,0.42347620877969544,0.47451463458928744,-0.8400196870727292,5915
59,0,2,1,3,3,2,1,1,4,1,2,2,0,3,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,2689,51,37,1115,1,1,7,7,5,0,7,5993,-0.14095958839400677,-0.8298761679414366,0.5967174987087149,-1.7106123871171488,1.3584788064634024,-0.46192588952136376,0.006132434505534611,-0.5382939416201341,-0.76121903241892,5993
60,1,3,1,2,4,3,1,1,3,1,1,2,0,4,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,22,10877,33,32,427,1,1,9,9,8,7,8,6162,1.1572407329636274,-1.9120961217894992,-0.5433660744521701,-0.058372192084000143,2.337927913931773,-1.1325930327809213,0.7859678288711982,0.525320867063008,0.581100144515576,6162
61,0,2,0,4,4,3,4,2,5,0,0,2,0,3,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,5456,50,38,653,29,1,10,10,3,9,9,2406,1.0092935123024351,-1.7627448202145075,0.31646576939901594,0.5956199451753137,-0.6355719177366769,-0.5918545469228225,-2.746035176363442,0.5848176394433469,1.2962732015842777,2406
62,1,2,1,4,3,2,2,1,2,0,2,5,0,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,12,16701,43,50,989,7,5,29,27,3,13,8,18740,5.225936009780252,1.1114434043141623,-1.0596659881498378,-0.32836016512268557,0.39695837785644783,0.745338634639627,-0.7196626844052656,0.1291597252218023,2.1858085732038433,18740
63,0,3,0,4,1,3,1,1,3,0,0,3,0,3,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,2354,99,59,1435,25,7,28,21,16,7,9,7637,5.033339817566611,0.7627944406218186,2.5607327413245526,-0.8583770892643268,-1.880992335941847,0.14736458872647848,-1.7897582029911947,1.5717125821409934,-0.5169374461494802,7637
64,0,2,3,2,3,3,3,1,3,0,2,3,0,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,13,8202,59,36,1223,8,1,17,17,14,12,8,10096,3.784253062254313,-2.00705956541703,0.36545753650673946,-1.1904581043702709,0.07314827167173421,0.7303458718092816,-0.5498951435582518,0.6363693338445013,1.4326403215625096,10096
65,1,2,3,3,3,3,4,1,3,0,2,4,0,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,14,19730,33,55,836,8,2,21,5,0,0,2,14756,0.6538420822064368,2.3923699942145698,-1.23928269468946,0.450568986201783,1.0888725999194526,0.5212643895638938,-0.6935575592319267,-2.0251755291054705,0.13059424080892382,14756
66,0,3,0,3,2,2,2,2,3,1,0,2,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,22656,95,36,1195,11,1,6,6,5,0,3,6499,-0.6877480937769832,-0.17986096181416114,0.5993931180365334,0.3345570267305887,-1.3587705423141159,1.5032074243652862,0.6643723678614667,-0.5504749315009996,-0.3745634440768171,6499
67,0,2,1,3,1,3,2,1,3,1,2,3,0,3,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,18787,59,45,1339,7,2,25,1,0,0,0,9724,-0.3674621102610953,2.1953313220078194,0.38682716759621294,0.01811622798699913,0.8729023656211906,1.0599693638651413,0.19083202630435717,-1.6394348692121756,0.38359275342853605,9724
68,0,2,1,4,1,3,2,2,3,1,1,1,0,3,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,13,5868,79,35,664,1,4,5,3,2,1,2,2194,-1.5981152998269148,0.18899859613647504,-0.2453483534268608,-1.4529250309122688,-0.7093958413801118,-0.8655264102727309,0.19820457828549837,0.5220654008825341,0.0713874851950475,2194
69,1,0,1,1,3,2,4,1,3,1,1,1,1,3,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,17,21777,79,36,318,9,0,2,1,0,0,0,3388,-2.373639599579198,-0.17688147709997062,-0.4998873355806957,1.299004436266058,-0.4365852821836436,-0.4466924845150218,1.0812768663097996,-0.8717876064459248,0.3559444934410116,3388
